IPS,SNIW,Emp. Bernstein for CIPS,ESLB,Implicit Exploration Bound,L = 1 Emp. SM for CIPS,LS Bound
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BEST
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,BETTER,BETTER,BETTER,BEST,BETTER,BEST
BETTER,BETTER,BETTER,BETTER,BEST,BETTER,BEST
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BEST
BETTER,BETTER,BETTER,BETTER,BEST,BETTER,BEST
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER
